                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.60327,                0.59749,                0.98137,                0.80563,                0.82235,                 0.8646,                0.79027,                0.45515,                0.61151,                0.84834,              0.0091373,              0.0091373,              0.0091373
                     63,                0.60372,                0.59362,                0.97243,                 0.8373,                0.80755,                0.87018,                0.79852,                0.45269,                0.60412,                0.83918,              0.0091231,              0.0091231,              0.0091231
                     64,                0.59132,                0.58446,                 0.9742,                0.81882,                 0.8034,                0.86624,                0.79222,                0.45327,                0.59653,                0.83993,               0.009109,               0.009109,               0.009109
                     65,                0.59567,                0.57545,                0.97191,                0.81694,                0.81038,                0.86071,                0.78964,                0.45375,                0.60937,                0.84181,              0.0090949,              0.0090949,              0.0090949
                     66,                0.59523,                0.58192,                 0.9772,                0.82807,                 0.7948,                0.85522,                0.78329,                0.45463,                0.61723,                0.84748,              0.0090807,              0.0090807,              0.0090807
                     67,                 0.6003,                0.58505,                0.98165,                0.81749,                0.80381,                0.86022,                0.78776,                0.45101,                 0.6177,                0.84576,              0.0090666,              0.0090666,              0.0090666
                     68,                0.58999,                0.57382,                0.97354,                 0.8112,                0.82853,                0.86932,                0.79813,                0.45175,                0.60986,                0.84479,              0.0090524,              0.0090524,              0.0090524
                     69,                0.60216,                0.56976,                0.97452,                0.80888,                0.81154,                0.87194,                0.79764,                0.45489,                0.60618,                0.84815,              0.0090383,              0.0090383,              0.0090383
                     70,                 0.5939,                0.57133,                0.97639,                0.81399,                0.80201,                 0.8606,                0.78889,                0.45444,                0.61088,                0.84497,              0.0090241,              0.0090241,              0.0090241
                     71,                0.59347,                0.57385,                0.97208,                0.81674,                0.79237,                0.86806,                0.79477,                 0.4488,                0.60728,                0.83975,                0.00901,                0.00901,                0.00901
                     72,                0.58532,                0.56167,                0.97334,                0.81165,                0.81546,                0.85971,                0.79069,                0.44414,                 0.6129,                0.83799,              0.0089959,              0.0089959,              0.0089959
                     73,                0.59126,                0.56679,                0.96974,                0.81552,                 0.8092,                0.86099,                 0.7928,                0.44128,                0.61119,                0.83513,              0.0089817,              0.0089817,              0.0089817
                     74,                0.58736,                0.56032,                0.96845,                0.80605,                0.81573,                0.86608,                0.79696,                0.44428,                0.58704,                0.83538,              0.0089676,              0.0089676,              0.0089676
                     75,                0.58402,                0.55349,                0.96941,                0.79505,                0.81837,                0.86059,                0.79336,                 0.4425,                0.60228,                0.83559,              0.0089534,              0.0089534,              0.0089534
                     76,                0.58966,                0.55938,                0.97341,                0.81448,                 0.8096,                0.86757,                0.79627,                0.44613,                0.60041,                0.83932,              0.0089393,              0.0089393,              0.0089393
                     77,                0.57881,                0.55262,                0.96448,                0.82172,                0.80114,                 0.8573,                0.78772,                0.44599,                0.60847,                0.83972,              0.0089251,              0.0089251,              0.0089251
                     78,                0.58568,                0.55302,                0.97008,                0.80596,                 0.8123,                0.85725,                0.78819,                0.44501,                0.61697,                0.84057,               0.008911,               0.008911,               0.008911
                     79,                0.58264,                 0.5433,                0.96612,                0.81236,                0.80495,                0.86192,                0.79276,                0.44625,                0.59246,                0.83886,              0.0088969,              0.0088969,              0.0088969
                     80,                0.58349,                0.54533,                   0.97,                0.81324,                0.82157,                 0.8681,                0.79891,                0.44569,                0.60329,                0.83959,              0.0088827,              0.0088827,              0.0088827
                     81,                0.57859,                0.54613,                0.97028,                0.81124,                0.81666,                0.87298,                0.80265,                 0.4467,                0.58391,                0.83613,              0.0088686,              0.0088686,              0.0088686
                     82,                0.58652,                0.54447,                0.96757,                  0.813,                0.81732,                0.86578,                0.79603,                0.44576,                0.61474,                 0.8379,              0.0088544,              0.0088544,              0.0088544
                     83,                0.57558,                0.54666,                  0.966,                0.79209,                0.82018,                0.85885,                0.79044,                0.44474,                0.63765,                 0.8387,              0.0088403,              0.0088403,              0.0088403
                     84,                0.57249,                0.53865,                0.96729,                0.80454,                0.80487,                0.86486,                0.79723,                0.44175,                0.62949,                0.83903,              0.0088261,              0.0088261,              0.0088261
                     85,                0.57532,                0.53717,                0.96501,                0.81144,                0.81506,                0.86552,                0.79841,                0.44174,                0.61967,                0.83348,               0.008812,               0.008812,               0.008812
                     86,                0.57554,                0.54226,                0.96413,                 0.8324,                0.80904,                0.87399,                0.80662,                0.44582,                0.58945,                0.83372,              0.0087979,              0.0087979,              0.0087979
                     87,                0.58123,                0.53212,                0.96824,                0.81077,                0.84064,                0.86822,                  0.802,                0.44127,                0.59701,                0.83105,              0.0087837,              0.0087837,              0.0087837
                     88,                0.56952,                0.52483,                0.96748,                0.82457,                0.81798,                 0.8722,                0.80439,                0.44493,                0.58356,                0.84045,              0.0087696,              0.0087696,              0.0087696
                     89,                0.57628,                0.52995,                0.96539,                0.83697,                0.80926,                0.87233,                0.80579,                0.44483,                0.60206,                0.83992,              0.0087554,              0.0087554,              0.0087554
                     90,                0.57185,                0.53171,                0.96408,                0.81827,                0.82249,                0.86662,                0.79706,                 0.4477,                  0.593,                0.84493,              0.0087413,              0.0087413,              0.0087413
                     91,                0.56997,                0.52217,                0.96327,                0.80806,                0.83481,                 0.8659,                0.79722,                0.44124,                0.61073,                0.83894,              0.0087271,              0.0087271,              0.0087271
                     92,                0.56982,                0.52502,                0.96771,                0.80577,                0.82177,                0.86634,                0.79891,                0.44152,                0.60645,                0.83951,               0.008713,               0.008713,               0.008713
                     93,                0.56715,                0.52345,                0.96091,                0.81658,                0.82903,                0.86373,                0.79925,                0.43775,                0.61447,                  0.838,              0.0086989,              0.0086989,              0.0086989
                     94,                0.55868,                0.51458,                0.95809,                0.81098,                 0.8306,                0.86618,                0.80301,                0.43538,                0.61433,                0.83463,              0.0086847,              0.0086847,              0.0086847
                     95,                0.55728,                0.51036,                0.95877,                0.81642,                0.82268,                0.86135,                0.79572,                0.43678,                0.61659,                 0.8344,              0.0086706,              0.0086706,              0.0086706
                     96,                 0.5625,                0.51311,                0.95865,                0.80965,                0.81679,                0.85627,                0.79324,                0.43625,                0.60804,                0.83516,              0.0086564,              0.0086564,              0.0086564
                     97,                0.56469,                0.51641,                0.95831,                0.80653,                0.82143,                0.85967,                0.79567,                0.43676,                0.60242,                0.83528,              0.0086423,              0.0086423,              0.0086423
                     98,                0.55987,                0.50177,                0.95714,                0.81048,                0.82336,                0.85856,                 0.7947,                0.43375,                0.60632,                0.83457,              0.0086281,              0.0086281,              0.0086281
                     99,                0.56798,                0.51698,                0.96899,                0.81151,                0.81573,                0.85651,                0.79403,                0.43373,                0.60984,                0.83858,               0.008614,               0.008614,               0.008614
                    100,                0.55921,                0.51285,                 0.9599,                0.81421,                0.79842,                  0.855,                0.79133,                0.43439,                0.61813,                0.83846,              0.0085999,              0.0085999,              0.0085999
                    101,                0.56418,                0.50277,                 0.9586,                0.81857,                0.80162,                0.85546,                 0.7936,                0.43401,                0.62191,                0.83377,              0.0085857,              0.0085857,              0.0085857
                    102,                0.55966,                0.50727,                0.95737,                0.80037,                0.81708,                0.85695,                 0.7929,                0.43595,                0.60883,                0.83522,              0.0085716,              0.0085716,              0.0085716
                    103,                0.55829,                0.50326,                0.95546,                0.81917,                0.80874,                0.85506,                0.79413,                0.43151,                0.61254,                0.83223,              0.0085574,              0.0085574,              0.0085574
                    104,                0.56632,                0.50965,                 0.9614,                0.82473,                0.80849,                0.85992,                0.80006,                0.43203,                0.59835,                0.83261,              0.0085433,              0.0085433,              0.0085433
                    105,                0.55919,                0.50781,                0.96004,                0.82569,                0.82552,                0.86464,                0.80276,                0.42924,                0.58679,                 0.8335,              0.0085291,              0.0085291,              0.0085291
                    106,                0.55853,                0.49966,                0.95717,                0.82683,                0.81672,                0.86247,                0.80143,                0.43184,                0.59198,                0.83478,               0.008515,               0.008515,               0.008515
                    107,                0.55329,                0.49324,                0.95603,                0.82076,                0.81045,                0.85715,                0.79761,                0.43042,                0.60466,                0.83569,              0.0085009,              0.0085009,              0.0085009
                    108,                0.55137,                0.49954,                 0.9538,                0.82468,                0.80073,                0.85312,                0.79298,                0.42991,                0.62049,                0.83476,              0.0084867,              0.0084867,              0.0084867
                    109,                 0.5529,                0.48984,                0.95592,                0.82136,                0.79735,                0.85478,                0.79508,                0.43175,                0.62791,                0.83605,              0.0084726,              0.0084726,              0.0084726
                    110,                0.55098,                0.48653,                0.95518,                0.79796,                0.83177,                0.85503,                 0.7961,                0.43295,                0.62985,                0.83737,              0.0084584,              0.0084584,              0.0084584
